"Any","zona","dat","via","pk","nomMun","nomCom","nomDem","F_MORTS","F_FERITS_GREUS","F_FERITS_LLEUS","F_VICTIMES","F_UNITATS_IMPLICADES","F_VIANANTS_IMPLICADES","F_BICICLETES_IMPLICADES","F_CICLOMOTORS_IMPLICADES","F_MOTOCICLETES_IMPLICADES","F_VEH_LLEUGERS_IMPLICADES","F_VEH_PESANTS_IMPLICADES","F_ALTRES_UNIT_IMPLICADES","F_UNIT_DESC_IMPLICADES","C_VELOCITAT_VIA","D_ACC_AMB_FUGA","D_BOIRA","D_CARACT_ENTORN","D_CARRIL_ESPECIAL","D_CIRCULACIO_MESURES_ESP","D_CLIMATOLOGIA","D_FUNC_ESP_VIA","D_GRAVETAT","D_INFLUIT_BOIRA","D_INFLUIT_CARACT_ENTORN","D_INFLUIT_CIRCULACIO","D_INFLUIT_ESTAT_CLIMA","D_INFLUIT_INTEN_VENT","D_INFLUIT_LLUMINOSITAT","D_INFLUIT_MESU_ESP","D_INFLUIT_OBJ_CALCADA","D_INFLUIT_SOLCS_RASES","D_INFLUIT_VISIBILITAT","D_INTER_SECCIO","D_LIMIT_VELOCITAT","D_LLUMINOSITAT","D_REGULACIO_PRIORITAT","D_SENTITS_VIA","D_SUBTIPUS_ACCIDENT","D_SUBTIPUS_TRAM","D_SUBZONA","D_SUPERFICIE","D_TIPUS_VIA","D_TITULARITAT_VIA","D_TRACAT_ALTIMETRIC","D_VENT","grupDiaLab","hor","grupHor","tipAcc","tipDia"
"2011","Zona urbana","27/03/2011","SE","999999","Vilafranca del Penedès","Alt Penedès","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols marques viàries (inclou pas vianants)","Un sol sentit","Atropellament","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","19,07","Tarda","Atropellament","dg"
"2011","Zona urbana","06/05/2011","SE","999999","Gavà","Baix Llobregat","Barcelona","0","1","0","1","2","0","1","0","0","1","0","0","0","NA","Si","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","Sense especificar","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Sense especificar","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","12,2","Matí","Col.lisió de vehicles en marxa","div"
"2011","Zona urbana","19/05/2011","SE","999999","Sant Feliu de Buixalleu","Selva","Girona","0","1","0","1","2","0","0","1","0","1","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial insuficient","Sols norma prioritat de pas","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Pla","Calma, vent molt suau","Feiners","21","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2011","Zona urbana","25/09/2011","SE","999999","Font-rubí","Alt Penedès","Barcelona","0","1","0","1","1","0","0","0","1","0","0","0","0","100","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Caiguda en la via","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Rampa o pendent","Calma, vent molt suau","CapDeSetmana","17,02","Tarda","Bolcada a la calcada","dg"
"2011","Zona urbana","11/05/2011","SE","999999","Argentona","Maresme","Barcelona","0","1","0","1","1","0","0","0","1","0","0","0","0","40","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Un sol sentit","Resta sortides de via","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Autonòmica","Rampa o pendent","Calma, vent molt suau","Feiners","16,49","Tarda","Sortida de la calcada sense especificar","dill-dij"
"2011","Carretera","09/09/2011","B-510","5,4","Dosrius","Maresme","Barcelona","0","1","0","1","1","0","0","0","1","0","0","0","0","100","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Provincial","Rampa o pendent","Calma, vent molt suau","CapDeSetmana","19","Tarda","Sortida de la calcada sense especificar","div"
"2011","Zona urbana","30/05/2011","SE","999999","Tarragona","Tarragonès","Tarragona","0","1","0","1","2","0","0","0","1","1","0","0","0","50","Sense Especificar","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Pluja dèbil","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia fosc","NA","Doble sentit","Encalç","NA","Zona urbana","Mullat","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","12,3","Matí","Col.lisió de vehicles en marxa","dill-dij"
"2011","Zona urbana","04/11/2011","SE","999999","Granollers","Vallès Oriental","Barcelona","0","1","0","1","3","1","0","0","0","2","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","Si","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","NA","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","21,15","Tarda","Atropellament","div"
"2011","Carretera","03/11/2011","C-16","60,7","Sallent","Bages","Barcelona","1","0","0","1","2","1","0","0","0","1","0","0","0","120","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De nit, sense llum artificial","NA","Un sol sentit","Atropellament","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners","20","Tarda","Atropellament","dill-dij"
"2011","Carretera","15/02/2011","C-35","51,6","Santa Maria de Palautordera","Vallès Oriental","Barcelona","0","2","0","2","2","0","0","0","0","2","0","0","0","40","No","No n'hi ha","A nivell","No n'hi ha","Obres","Pluja dèbil","Sense funció especial","Accident greu","No","Si","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De nit, il·luminació artificial insuficient","Senyal Stop o cedeix pas","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Carretera","Mullat","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners","20,45","Tarda","Col.lisió de vehicles en marxa","dill-dij"
